textName,textDescription,urlname
artic bear travel,exclusive travel agency,
articsea,,
solarboat,no grid charging boat,
blue robot company,,
clean hand solution - ,soap alternative,
dyrk,rent out garden space to grow,
ekilibre ,movment training program,
evolift,,
excitus,,
forsetify ,seattelitt tree planting,
gnome tech ,automation of cloack renovation,
guru,,
info tiles,data point integrations,
knips,real estate sales,
my legazy,,
kib - AI exam preparation,,
Internia,,
mylegazy,,
oaseit,gamifying climate change,
ogtech,,
outshifter,,
Quine,media production in the cloud,
rollsense as,,
snowroller,sustainable ski wearables,
sortify,,
tackl habiit ,fun games to solve problems,
uppacked,no product packaging in stores,
vitroscope,,
wayd,give back photos taken of yourself from friends,
wildfire,,