textName,textOutcome,textsource,textName
Cast system,Everyone will be in a hirarchy which gives them wealth and goodness,Indian science,Rina Sunder
"4 state powers, statsmakt",Healtcare will be supressed to do only good,Holocast,Malin Adriansen
Oposite people cast ,Everyone needs to not be stiired by oposite people,Indian science,Rina Sunder
Journal moderators,"Needs tidy cast system, becouse they are writing oposite in a bad culture",Dibs/Dips program,Jan Oeding
Credit card scams,Point payment makes Visa pay for scamming without a code,Point,Rina Sunder
Bank scam,"Nav and direct payment is stolen a cut, point is gulity, nets needs to fix it",Point,Rina Sunder
Healtcare jail,Needs to only take people from the real jail,Blakstad,Hilde Kristine Østgaard
Healtcare apartments,"Needs to be free from nav and not enforced upon anyone, like german science",Blakstad,Hilde Kristine Østgaard
Ambulances,"Needs to not drive people enforced, when stired without corruption ",Bærum Sykehus,Lars Linderoth
Police,"Needs to just attack people at home with a court order, else corrupt sentence on them",Overkommandoen i Sandvika,Lars Linderoth
Politics,"Needs to not have oposite leaders in charge, else it will damage change management",Erna SolBerg,Jonas Gahr Støre
Military,"Needs to cooperate with the police in accuracy in ""overkommando'en""",Autonome police operation,Patrick Fulford Hanson
Judges,Needs to judge people based on who's first heartbroken,Singapoore,Martin Gunnerud
Press,Needs to give both angels when there is doubt,Russia/Ukraine,bbc.com/realitycheck
Stateviter,Needs to verify if this list is compleate,UIO,Richard Stenseth
Ads,Needs to enbrace this list,Naked communication,Snorre Martinsen
Un Human Rights,Needs to implement this list all over the world,FN,Christian Müggler
Røde Kors,Needs to fix the corruption compleate,Rødekors,
Drugs,Good drugs needs to be regulated and protection needs to be from drugs for everyone,Nederlands,Stine Magistad Johansen