textname,textcategory,textsubcategory,Demo looks ok?,urlname
osclass,business,adverts,"Missing demo content, backend looks very good",http://installatron.com/osclass/demo
classifieds,business,adverts,Design dosn't look good,http://installatron.com/classifieds/demo
frontaccounting,business,business,Probably not nordic accounting rules,http://installatron.com/frontaccounting/demo
orangehrm,business,business,demo password not visible,http://installatron.com/orangehrm/demo
fengoffice,business,crm,,http://installatron.com/fengoffice/demo
sugarcrm,business,crm,,http://installatron.com/sugarcrm/demo
vtiger,business,crm,,http://installatron.com/vtiger/demo
zurmo,business,crm,,http://installatron.com/zurmo/demo
cubecart,business,e-commerce,,http://installatron.com/cubecart/demo
magento,business,e-commerce,,http://installatron.com/magento/demo
opencart,business,e-commerce,,http://installatron.com/opencart/demo
oscommerce,business,e-commerce,,http://installatron.com/oscommerce/demo
prestashop,business,e-commerce,,http://installatron.com/prestashop/demo
tomatocart,business,e-commerce,,http://installatron.com/tomatocart/demo
zencart,business,e-commerce,,http://installatron.com/zencart/demo
boxbilling,business,invoicing,,http://installatron.com/boxbilling/demo
phpcoin,business,invoicing,,http://installatron.com/phpcoin/demo
simpleinvoices,business,invoicing,,http://installatron.com/simpleinvoices/demo
whmcs,business,invoicing,,http://installatron.com/whmcs/demo
collabtive,business,projects,"Simple project tracking, but not as detailed as basecamp",http://installatron.com/collabtive/demo
mantis,business,projects,"Advanced bug tracker, and not project management",http://installatron.com/mantis/demo
phprojekt,business,projects,Really awfull looking,http://installatron.com/phprojekt/demo
cslivehelp,business,support,,http://installatron.com/cslivehelp/demo
helpcenterlive,business,support,,http://installatron.com/helpcenterlive/demo
osticket,business,support,,http://installatron.com/osticket/demo
hesk,business,support,,http://installatron.com/hesk/demo
extcalendar,community,calendar,,http://installatron.com/extcalendar/demo
phpscheduleit,community,calendar,,http://installatron.com/phpscheduleit/demo
webcalendar,community,calendar,,http://installatron.com/webcalendar/demo
phpfreechat,community,chat,,http://installatron.com/phpfreechat/demo
phpmychat,community,chat,,http://installatron.com/phpmychat/demo
dadamail,community,email,,http://installatron.com/dadamail/demo
phplist,community,email,,http://installatron.com/phplist/demo
siterecommender,community,email,,http://installatron.com/siterecommender/demo
phpbb,community,forum,,http://installatron.com/phpbb/demo
fluxbb,community,forum,,http://installatron.com/fluxbb/demo
mybb,community,forum,,http://installatron.com/mybb/demo
smf,community,forum,,http://installatron.com/smf/demo
vanilla,community,forum,,http://installatron.com/vanilla/demo
xmb,community,forum,,http://installatron.com/xmb/demo
yetanotherforumnet,community,forum,,http://installatron.com/yetanotherforumnet/demo
elgg,community,groupware,,http://installatron.com/elgg/demo
oxwall,community,groupware,,http://installatron.com/oxwall/demo
pligg,community,groupware,,http://installatron.com/pligg/demo
gbook,community,guestbook,,http://installatron.com/gbook/demo
advancedguestbook,community,guestbook,,http://installatron.com/advancedguestbook/demo
mediawiki,community,wiki,,http://installatron.com/mediawiki/demo
dokuwiki,community,wiki,,http://installatron.com/dokuwiki/demo
pmwiki,community,wiki,,http://installatron.com/pmwiki/demo
wikkawiki,community,wiki,,http://installatron.com/wikkawiki/demo
b2evolution,content,blog,,http://installatron.com/b2evolution/demo
blogenginenet,content,blog,,http://installatron.com/blogenginenet/demo
geeklog,content,blog,,http://installatron.com/geeklog/demo
pivot,content,blog,,http://installatron.com/pivot/demo
serendipity,content,blog,,http://installatron.com/serendipity/demo
textpattern,content,blog,,http://installatron.com/textpattern/demo
wordpress,content,blog,,http://installatron.com/wordpress/demo
typo3,content,cms,,http://installatron.com/typo3/demo
cmsmadesimple,content,cms,,http://installatron.com/cmsmadesimple/demo
concrete,content,cms,,http://installatron.com/concrete/demo
contao,content,cms,,http://installatron.com/contao/demo
dotnetnuke,content,cms,,http://installatron.com/dotnetnuke/demo
drupal,content,cms,,http://installatron.com/drupal/demo
impresspages,content,cms,,http://installatron.com/impresspages/demo
livesite,content,cms,,http://installatron.com/livesite/demo
phpwcms,content,cms,,http://installatron.com/phpwcms/demo
pyrocms,content,cms,,http://installatron.com/pyrocms/demo
nucleuscms,content,cms,,http://installatron.com/nucleuscms/demo
silverstripe,content,cms,,http://installatron.com/silverstripe/demo
soholaunch,content,cms,,http://installatron.com/soholaunch/demo
websitebaker,content,cms,,http://installatron.com/websitebaker/demo
chamilo,content,education,,http://installatron.com/chamilo/demo
moodle,content,education,,http://installatron.com/moodle/demo
phpmyfaq,content,faq,,http://installatron.com/phpmyfaq/demo
codeigniter,content,framework,,http://installatron.com/codeigniter/demo
coranto,content,framework,,http://installatron.com/coranto/demo
modx,content,framework,,http://installatron.com/modx/demo
e107,content,portal,,http://installatron.com/e107/demo
joomla,content,portal,,http://installatron.com/joomla/demo
mahara,content,portal,,http://installatron.com/mahara/demo
mambo,content,portal,,http://installatron.com/mambo/demo
ocportal,content,portal,,http://installatron.com/ocportal/demo
phpfusion,content,portal,,http://installatron.com/phpfusion/demo
phpnuke,content,portal,,http://installatron.com/phpnuke/demo
tikiwiki,content,portal,,http://installatron.com/tikiwiki/demo
xoops,content,portal,,http://installatron.com/xoops/demo
opendocman,files,files,,http://installatron.com/opendocman/demo
owncloud,files,files,,http://installatron.com/owncloud/demo
phpfilemanager,files,files,,http://installatron.com/phpfilemanager/demo
ipfilemanager,files,files,,http://installatron.com/ipfilemanager/demo
coppermine,files,gallery,,http://installatron.com/coppermine/demo
gallery,files,gallery,,http://installatron.com/gallery/demo
piwigo,files,gallery,,http://installatron.com/piwigo/demo
tinywebgallery,files,gallery,,http://installatron.com/tinywebgallery/demo
zenphoto,files,gallery,,http://installatron.com/zenphoto/demo
phplinks,miscellaneous,bookmarks,,http://installatron.com/phplinks/demo
sitebar,miscellaneous,bookmarks,,http://installatron.com/sitebar/demo
yourls,miscellaneous,bookmarks,,http://installatron.com/yourls/demo
itronclock,miscellaneous,clock,,http://installatron.com/itronclock/demo
webcards,miscellaneous,e-cards,,http://installatron.com/webcards/demo
contactform,miscellaneous,email,,http://installatron.com/contactform/demo
formtools,miscellaneous,forms,,http://installatron.com/formtools/demo
phpformgenerator,miscellaneous,forms,,http://installatron.com/phpformgenerator/demo
webtrees,miscellaneous,genealogy,,http://installatron.com/webtrees/demo
feedonfeeds,miscellaneous,rss,,http://installatron.com/feedonfeeds/demo
tinytinyrss,miscellaneous,rss,,http://installatron.com/tinytinyrss/demo
selfoss,miscellaneous,rss,,http://installatron.com/selfoss/demo
aardvarkts,survey&stats,poll,,http://installatron.com/aardvarkts/demo
advancedpoll,survey&stats,poll,,http://installatron.com/advancedpoll/demo
limesurvey,survey&stats,poll,,http://installatron.com/limesurvey/demo
phpesp,survey&stats,poll,,http://installatron.com/phpesp/demo
simplepoll,survey&stats,poll,,http://installatron.com/simplepoll/demo
phpmycounter,survey&stats,statistics,,http://installatron.com/phpmycounter/demo
piwik,survey&stats,statistics,,http://installatron.com/piwik/demo
seopanel,survey&stats,statistics,,http://installatron.com/seopanel/demo
cftp,,,,http://installatron.com/cftp/demo
fork,,,,http://installatron.com/fork/demo
openads,,,,http://installatron.com/openads/demo
phplinkdirectory,,,,http://installatron.com/phplinkdirectory/demo
phpshop,,,,http://installatron.com/phpshop/demo
tsep,,,,http://installatron.com/tsep/demo
vbulletin,,,,http://installatron.com/vbulletin/demo
zazavi,,,,http://installatron.com/zazavi/demo
postnuke,,,,http://installatron.com/postnuke/demo