textname,textOppgave,texttid,textofen,textwhen,textmany
Inngangspartiet,"Sørge for at parkeringsplass, området rundt butikken og selve inngangspartiet fremstår som representabelt og imøtekommende.",15 minutter,hver dag,før åpning,1 ansatt
Inngangspartiet,"Låse opp dører, sette ut søppelkasser og plakatbukker, ta inn aviser.",5 minutter,hver dag,før åpning,
Inngangspartiet,Plukke søppel ute og i gangen,2 minutter,hver dag,før åpning,1 ansatt
Inngangspartiet,"Panteautomat; vaske front, sørge for papir og såpe ved vask, tømme returstasjon om nødvendig",5 minutter,hver dag,før åpning,1 ansatt
Inngangspartiet,Kundeaviser og medlemsblader tilgjengelig,1 minutt,hver dag,før åpning,1 ansatt
Inngangspartiet,Tippeskranke ok?,1 minutt,hver dag,før åpning,1 ansatt
Inngangspartiet,Feie under vognstall og rundt komprimator,10 minutter,hver onsdag ,før åpning,1 ansatt
Inngangspartiet,"Vask panteautomat, følg vaskeprogram",15 minutter,hver tirsdag og fredag,mellom 21-23,1 ansatt
,,,,,
Blomster,Se til at blomstertorget er innbydende og salgsvennlig.,6 minutter,hver morgen,før åpning,
Blomster,Rent & ryddig,2 minutter,hver dag,før åpning,1 ansatt
Blomster,Vann ved behov,2 minutter,hver dag,før åpning,1 ansatt
Blomster,Dårlig kvalitet fjernes,2 minutter,hver dag,før åpning,1 ansatt
Blomster,Bestille blomster i henhold til rutine for bestillinger,4 minutter,hver onsdag,i løpet av dagen,1 ansatt
,,,,,
Faghandel,,,,,
Faghandel,Rydd torgene,5 minutter,hver dag,morgen,1 ansatt
Faghandel,Sjekk at prisplakatene er oppdatert. Bytt ut hvis nødvendig,10 minutter,hver mandag,før åpning,1 ansatt
Faghandel,Trekk frem reolene,30 minutter ,hver tirsdag,morgenen,1 ansatt
Faghandel,"Fyll ut nye varer, pris ned de gamle, bytt ut plakater",240 minutter,hver mandag,morgen,1 ansatt
,,,,,
Øl/mineralvann,,,,,
Øl/mineralvann,Gå over torg og fjern overflødig papp. Rydd og front. ,120 minutter,mandag og torsdag,kveld,1 ansatt
Øl/mineralvann,Trekk frem og opp kjøleskap,30 minutter,hver fredag ,kveld,1 ansatt
Øl/mineralvann,Fremtrekk av reoler,60 minutter,"hver mandag, onsdag og fredag",dag,1 ansatt
Øl/mineralvann,"Fyll på varer fra lager, trekk frem og opp kjøleskap, torg og reoler",120 minutter,hver lørdag,,1 ansatt
,,,,,
Brød,,,,,
Brød,"Fyll på brød og småvarer, sørg for poser og rett prising",20 minutter,hver dag,morgen,1 ansatt
Brød,Trekk frem brødreol og kakereol,15 minutter ,hver tirsdag og fredag,kveld,1 ansatt
Brød,Påfyll frosne brød med datomerking,15 minutter,hver torsdag,mellom,1 ansatt
,,,,,
Tørrvare,,,,,
Tørrvare,Ta topphyller og trekk frem samtlige reoler,300 minutter,hver tirsdag og fredag ,morgen,2 ansatte
Tørrvare,"Sjekk at det ikke er varer, stiger eller annet forstyrrende mellom reolene",2 minutter,hver dag,morgen,1 ansatt
Tørrvare,Sjekk plakater på alle tørrvaretorg,10 minutter,hver mandag,morgen,1 ansatt
Tørrvare,Spre og fyll på tørrvarer,450 minutter,hver mandag,kveld,2 ansatte
Tørrvare,Spre og fyll på tørrvarer,300 minutter,hver torsdag,kveld,2 ansatte
Tørrvare,Planogram: Sørg for at tørrvarehyllene er etter ny space,2500 minutter,"september, februar og mai",uke,1 ansatt
Tørrvare,Bestille varer,45 minutter,hver onsdag og fredag,morgen,1 ansatt
,,,,,
Frukt & grønt:,,,,,
Frukt & grønt:,Tøm kjøledisk og vask,45 minutter,annenhver mandag,morgen,1 ansatt
Frukt & grønt:,Støvsug og vask disker ,45 minutter,annenhver mandag,morgen,1 ansatt
Frukt & grønt:,Ta ut dårlig kvalitet,15 minutter,hver dag,morgen,1 ansatt
Frukt & grønt:,Fruktposer tilgjengelig,1 minutt,hver dag,morgen,1 ansatt
Frukt & grønt:,Fyll på varer,240 minutter ,hver dag,morgen,1 ansatt
Frukt & grønt:,Fyll på varer,60 minutter,hver dag ,mellom (kl 15),1 ansatt
Frukt & grønt:,Fyll på varer,30 minutter,hver dag,kveld (kl 1930),1 ansatt
Frukt & grønt:,Bestille varer,30 minutter,hver dag,morgen,1 ansatt
,,,,,
Kjøl,,,,,
Kjøl,Fremtrekk kjøledisker,60 minutter ,hver tirsdag og torsdag,morgen/mellom,1 ansatt
Kjøl,Datokontroll og fremtrekk av alle kjøledisker ,240 minutter ,"hver mandag, onsdag og fredag",morgen/mellom,1 ansatt
Kjøl,Fyll på kjølevarer,450 minutter ,hver mandag,kveld ,2 ansatte
Kjøl,Fyll på kjølevarer,300 minutter,hver torsdag,morgen,2 ansatte
Kjøl,Fyll på kjølevarer fra lager ,60 minutter,hver fredag og lørdag,morgen/mellom,1 ansatt
,,,,,
Melk & yoghurt,,,,,
Melk & yoghurt,Fyll på melk og yoghurt. Trekk frem,40 minutter,hver dag,kveld,1 ansatt
Melk & yoghurt,Fyll på varer og bestill,60 minutter,hver dag (ikke bestill lørdag),mellom,1 ansatt
Melk & yoghurt,Etterfyll ,30 minutter ,hver dag,kveld (kl 15),1 ansatt
Melk & yoghurt,Rent å ryddig,,,,
,,,,,
Kasse sone,,,,,
Kasse sone,"Fremtrekk i reoler tilknyttet kassen. (vitaminer, kosmetikk, godteri)",60 minutter,hver dag,kveld,1 ansatt
Kasse sone,Etterfyll diplomis,15 minutter,hver mandag,mellom,1 ansatt
Kasse sone,Sørg for velfylte halvpallertorg ved isdisk,10 minutter,hver dag,kveld,1 ansatt
Kasse sone,Velfylte å ryddig kassesone exponeringer,,,,
Kasse sone,Rent å ryddig gulv,,,,
,,,,,
Kasse,,,,,
Kasse,Vask kassebånd,20 minutter,hver dag,kveld,1 ansatt
Kasse,Sett gjennglemte og kasserte varer tilbake der de hører hjemme,5 minutter,hver dag,kveld,1 ansatt
Kasse,Vask handlekurver,30 minutter,hver lørdag,kveld,1 ansatt
Kasse,Etterfyll vensafe ,30 minutter,"hver mandag, onsdag og fredag",mellom,1 ansatt