texttype,textdescription
Arc,"First slide is the waiting slide, that sets the stage"
Arc,Second slide gets the audience's attention
Arc,Last Slide has request
Arc,Last slide has contact info
Arc,One slide about the product
Arc,Appendix has answers for top 5 questions
Facts,What is the Name of the solution?
Biz model,Who is the Customer?
Biz model,What is the problem that the customer has?
Biz model,What is the solution to the customer problem?
Biz model,What are the existing Alternatives?
Biz model,Where are the Early Adopters?
Biz model,What is the Unique Value proposition for the Early Adopters
Biz model,What is the unfair advantage of the team?
Biz model,What are the key metrics that they are tracking?
Biz model,What is the revenue Model?/ Revenue Mechanism
Biz model,What is the cost of doing business?
Biz model,What are the Channels for the product?
Cash flow,Lifetime customer value
Cash flow,Customer Acquisition costs
Cash flow,Fixed costs?
Cash flow,Staffing costs?
Cash flow,What is the ROI?
Cash flow,"Financial Inflection points - Break even, Milestones, Cashflow positive, Growth rate"
Cash flow,What is the amount of money needed?
Content Strategy,What is the evidence of a social media/content strategy?
Content Strategy,What is the narrative theme?
Content Strategy,What is the evidence of customer awareness?
Execution,What is the evidence that the Market cares that the TEAM executes
Execution,What is the evidence that they are focused on a growth company of 5% growth per month?
Execution,What is the evidence that they engage their customers?
Execution,Is there an exit plan?
Execution,What is the milestone that this round of funding will hit?
Execution,What does the next round of funding look like?
Market,How will the team go to market?
Market,What is the Market Size?
Presentation,Have Contact information on the title page
Presentation,Have social media reference on every page
Presentation,Have company name/logo on every page
Presentation,"As a sales document, this is an emotional journey"
Presentation,Faces are emotional - especially Â¾ face views
Presentation,Colors are emotional - The presentation was colorful
Presentation,"3-5 words , 30pt font"
Presentation,"This is a Sales presentation to Investors , not a product presentation"
Metric,Sales Funnel
Metric,Acquisition
Metric,Activation
Metric,Retention
Metric,Referral
Metric,Revenue
Metric,Did you get the audience's attention?
Metric,Was the team remarkable?
Structure,"Only One point per slide , Keep the process focused"
Structure,Do not provide ADHD investors with hairballs to unravel/ Do not make investors do math in their heads
Structure,"It is not about being complete, it is about motivating the investors to take the next meeting."
Structure,What is the call to action / Request?
Team,What is the evidence that the TEAM can execute on this business
Team,Is the team committed?
Team,Has the Team worked together before?